Age,Income,Satisfaction,Occupation_Employed,Occupation_Retired,Occupation_Self-Employed,Occupation_Student,Occupation
4.330733340286331,46924.37814031202,4,True,False,False,False,0
4.02535169073515,61472.191362119534,2,False,False,True,False,2
3.8066624897703196,58182.60306443502,5,False,False,False,True,3
4.418840607796598,35002.20057783972,2,True,False,False,False,0
3.970291913552122,51165.32934457263,2,False,False,True,False,2
3.4011973816621555,42034.39997234479,1,False,True,False,False,1
4.189654742026425,43867.214197932066,5,False,True,False,False,1
3.6888794541139363,52063.13509223186,1,False,True,False,False,1
3.1354942159291497,14877.749563219522,4,True,False,False,False,0
4.0943445622221,45975.43365650946,4,False,False,True,False,2
4.2626798770413155,9774.463268726227,3,False,True,False,False,1
3.784189633918261,,4,True,False,False,False,0
3.295836866004329,22538.269078459256,5,False,False,True,False,2
4.23410650459726,55824.61011616085,3,False,False,True,False,2
3.5553480614894135,27322.724972072025,4,False,False,True,False,2
3.6109179126442243,77732.98583211238,1,False,False,True,False,2
3.5553480614894135,46542.388962309575,2,True,False,False,False,0
3.6888794541139363,55833.83026235759,5,True,False,False,False,0
4.454347296253507,,2,False,False,True,False,2
3.970291913552122,29897.240451332207,2,True,False,False,False,0
3.713572066704308,79564.25913281301,5,False,False,True,False,2
3.58351893845611,,5,False,False,False,True,3
3.713572066704308,34480.127479811905,1,False,True,False,False,1
2.9444389791664403,55053.54276331772,5,False,True,False,False,1
3.1780538303479458,53671.54895714439,5,False,False,False,True,3
3.5553480614894135,59351.769111546935,3,False,False,True,False,2
3.6635616461296463,58471.477660319215,1,False,True,False,False,1
4.394449154672439,38087.5018474564,4,False,True,False,False,1
3.828641396489095,61412.31907069313,2,False,False,False,True,3
3.912023005428146,71842.0690958895,4,False,False,True,False,2
4.477336814478207,,2,True,False,False,False,0
3.9512437185814275,63080.33539995845,3,False,False,True,False,2
3.044522437723423,74149.48970773462,5,False,False,False,True,3
3.6109179126442243,46030.59692138268,5,False,False,False,True,3
3.9512437185814275,58495.258714267955,2,True,False,False,False,0
3.4657359027997265,61203.209157003985,1,False,False,False,True,3
3.044522437723423,42988.12288052974,2,False,True,False,False,1
2.9444389791664403,25181.721365187215,3,False,False,False,True,3
3.871201010907891,57699.03995043906,3,False,False,False,True,3
3.6635616461296463,26949.85089247887,5,False,False,False,True,3
3.970291913552122,,2,False,True,False,False,1
4.454347296253507,,5,False,False,False,True,3
3.784189633918261,28505.73041055369,5,False,False,False,True,3
4.143134726391533,51408.911118192766,2,True,False,False,False,0
4.465908118654584,42866.970447765205,2,False,False,False,True,3
3.5553480614894135,33264.68023067516,5,False,True,False,False,1
2.995732273553991,63377.45879180043,2,False,False,False,True,3
3.4011973816621555,57140.01239803921,3,False,True,False,False,1
4.1588830833596715,56181.79896896357,1,False,False,False,True,3
3.2188758248682006,47223.18650324731,2,False,False,False,True,3
3.9512437185814275,18231.487366487592,1,True,False,False,False,0
4.127134385045092,70141.42178094598,2,False,False,True,False,2
4.382026634673881,71597.3488408106,5,False,False,True,False,2
4.31748811353631,40188.506487569626,4,False,False,True,False,2
3.6635616461296463,44372.16372653889,4,False,False,True,False,2
4.30406509320417,35205.2273076791,1,True,False,False,False,0
4.499809670330265,48275.16580629471,3,False,False,True,False,2
3.4339872044851463,41445.522823191495,4,False,False,True,False,2
4.219507705176107,73523.15371856447,3,False,False,True,False,2
3.2188758248682006,,1,True,False,False,False,0
4.382026634673881,99801.75893447474,2,True,False,False,False,0
4.248495242049359,,1,True,False,False,False,0
3.258096538021482,94776.75699231304,4,False,False,False,True,3
4.356708826689592,83708.04744336287,5,False,False,True,False,2
4.07753744390572,64671.88975511057,4,True,False,False,False,0
3.828641396489095,82638.1268638929,4,False,False,False,True,3
3.1354942159291497,-230.35111900775897,4,False,False,True,False,2
4.382026634673881,,2,False,False,True,False,2
3.5263605246161616,28880.23857436618,4,True,False,False,False,0
3.367295829986474,40492.555245841584,4,True,False,False,False,0
3.1780538303479458,44806.84597877133,2,False,True,False,False,1
3.912023005428146,62591.819289097824,3,False,True,False,False,1
4.204692619390966,54861.34036238975,4,False,False,False,True,3
4.23410650459726,32970.887972453216,4,True,False,False,False,0
3.6635616461296463,42018.20756587345,4,False,False,True,False,2
3.784189633918261,88100.94237401421,1,True,False,False,False,0
3.1780538303479458,48102.08984694524,2,False,False,False,True,3
4.204692619390966,,4,False,False,True,False,2
3.871201010907891,47412.05613317382,2,False,True,False,False,1
3.912023005428146,39702.349596594206,2,True,False,False,False,0
4.382026634673881,70603.47766825359,3,False,False,False,True,3
3.5553480614894135,49457.556430941906,3,False,True,False,False,1
4.30406509320417,55695.05124226626,1,False,False,True,False,2
4.189654742026425,60146.529260589035,3,False,False,True,False,2
4.394449154672439,52554.38181323185,5,False,False,False,True,3
3.1780538303479458,,1,True,False,False,False,0
3.6109179126442243,35758.544602130445,5,True,False,False,False,0
3.871201010907891,48982.01051815064,5,False,False,True,False,2
4.418840607796598,84943.95679861787,2,True,False,False,False,0
4.110873864173311,44695.08425250407,5,True,False,False,False,0
4.3694478524670215,84401.71712385664,1,False,True,False,False,1
4.31748811353631,40398.67013555208,4,False,False,True,False,2
3.970291913552122,54102.18027834824,5,True,False,False,False,0
4.454347296253507,69306.38795007249,1,False,False,True,False,2
3.4657359027997265,82252.34333599101,5,True,False,False,False,0
4.382026634673881,71825.04744372777,2,False,False,True,False,2
3.4011973816621555,75232.82923856935,3,True,False,False,False,0
3.2188758248682006,44402.56717741199,4,False,False,True,False,2
4.343805421853684,50007.1098600431,5,True,False,False,False,0
3.912023005428146,58972.215680111585,4,False,True,False,False,1
3.258096538021482,64205.47700559799,3,False,False,True,False,2
3.1354942159291497,26166.28702448444,3,False,False,True,False,2
3.367295829986474,56702.381371396936,1,False,False,False,True,3
4.007333185232471,111142.30719267986,5,True,False,False,False,0
4.465908118654584,61767.557046459,3,False,True,False,False,1
4.406719247264253,30091.222825398792,5,True,False,False,False,0
4.174387269895637,42674.03453617979,2,False,True,False,False,1
3.9889840465642745,89355.28399847346,4,False,False,True,False,2
4.2626798770413155,69930.90921524116,3,False,False,False,True,3
